OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-UT,USGS Utah Water Science Center,USGS-394909110524101,(D-11- 9)35daa-S1,Spring,,14060007,,,,,39.819128,-110.8787721,24000,1,seconds,Interpolated from MAP.,NAD83,7355,feet,20,feet,Interpolated from topographic map.,NGVD29,US,49,49,,,,,,,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-394918111053201,(D-11- 7)36bdb-S1,Spring,,14060007,,,,,39.8216272,-111.092946,24000,5,seconds,Interpolated from MAP.,NAD83,8300,feet,20,feet,Interpolated from topographic map.,NGVD29,US,49,49,,North Horn Formation (Paleocene-Upper Cretaceous),,,,,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-394920111094201,(D-11- 7)32acb-S1,Spring,,14060007,,,,,39.8221825,-111.1623934,24000,1,seconds,Interpolated from MAP.,NAD83,7760,feet,20,feet,Interpolated from topographic map.,NGVD29,US,49,49,,Price River Formation of Mesaverde Group,,,,,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-394928111092301,(D-11- 7)32aac-S1,Spring,,14060007,,,,,39.8244047,-111.1571154,24000,1,seconds,Interpolated from MAP.,NAD83,7760,feet,20,feet,Interpolated from topographic map.,NGVD29,US,49,49,,Castlegate Sandstone of Mesaverde Group,,,,,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-394931112005801,(C-11- 2)26dba-S1,Spring,,16020201,,,,,39.8252295,-112.0168864,24000,1,seconds,Interpolated from MAP.,NAD83,5435,feet,20,feet,Interpolated from topographic map.,NGVD29,US,49,49,,Valley Fill,,,,,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-394936110565600,PRICE RIVER @ KYUNE,Stream,,14060007,,,,,39.8266275,-110.9496074,2400,5,seconds,Interpolated from MAP.,NAD83,7120,feet,20,feet,Interpolated from topographic map.,NGVD29,US,49,49,,,,,,,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-394944111584601,(C-11- 1)30acb-S2,Spring,,16020201,,,,,39.8288412,-111.9802184,24000,1,seconds,Interpolated from MAP.,NAD83,5740,feet,20,feet,Interpolated from topographic map.,NGVD29,US,49,49,,Mafic Rocks,,,,,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-394947111585101,(C-11- 1)30acb-S1,Spring,,16020201,,,,,39.8296745,-111.9816074,,1,seconds,Interpolated from MAP.,NAD83,5680,feet,50,feet,Interpolated from topographic map.,NGVD29,US,49,49,,,,,,,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-395003110571201,KYUNE CREEK NEAR COLTON UTAH,Stream,,14060007,,,,,39.839405,-110.9534963,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,49,49,,,,,,,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-395003111002501,PRICE RIVER ABOVE WHITE RIVER NEAR COLTON UTAH,Stream,,14060007,,,,,39.8341271,-111.0062757,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,49,49,,,,,,,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-395005111003001,(D-11- 8)27caa-S1,Spring,,14060007,,,,,39.8346826,-111.0090536,62500,1,seconds,Interpolated from MAP.,NAD83,7200,feet,25,feet,Interpolated from topographic map.,NGVD29,US,49,49,,,,,,,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-395011111575001,(C-11- 1)20cda-S1,Spring,,16020201,,,,,39.8363415,-111.9646623,24000,1,seconds,Interpolated from MAP.,NAD83,6055,feet,20,feet,Interpolated from topographic map.,NGVD29,US,49,49,,Mafic Rocks,,,,,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-395019111071801,(D-11- 7)27abd- 1,Well,,14060007,,,,,39.8385712,-111.1223916,62500,1,minutes,Interpolated from MAP.,NAD83,8020,feet,100,feet,Interpolated from topographic map.,NGVD29,US,49,49,,,,19730925,115,ft,125,ft,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-395029111091501,(D-11- 7)29aaa-S1,Spring,,14060007,,,,,39.8413488,-111.1548929,24000,5,seconds,Interpolated from MAP.,NAD83,7920,feet,20,feet,Interpolated from topographic map.,NGVD29,US,49,49,,Price River Formation of Mesaverde Group,,,,,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-395035110595001,PRICE RIVER BELOW WHITE RIVER NEAR COLTON UTAH,Stream,,14060007,,,,,39.8410714,-110.997942,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,49,49,,,,,,,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-395039111003401,WHITE RIVER ABOVE PRICE RIVER NEAR COLTON UTAH,Stream,,14060007,,,,,39.8441269,-111.0062756,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,49,49,,,,,,,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-395048111005501,(D-11- 8)22dcb- 1,Well,,14060007,,,,,39.8466268,-111.0159982,62500,1,seconds,Interpolated from MAP.,NAD83,7208,feet,1,feet,Level or other surveyed method.,NGVD29,US,49,49,Colorado Plateaus aquifers,North Horn Formation (Paleocene-Upper Cretaceous),Confined single aquifer,19530314,1523,ft,1540,ft,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-395114111011801,(D-11- 8)22bca- 1,Well,,14060007,,,,,39.8538489,-111.0223874,62500,1,seconds,Interpolated from MAP.,NAD83,7198,feet,1,feet,Level or other surveyed method.,NGVD29,US,49,49,,,,19540605,2103,ft,2103,ft,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-395126112025601,(C-11- 2)22aac-S1,Spring,,16020201,,,,,39.8571734,-112.0496653,,1,seconds,Interpolated from MAP.,NAD83,5820,feet,50,feet,Interpolated from topographic map.,NGVD29,US,49,49,,,,,,,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-395204111320100,(D-11- 3)13abd- 1,Well,,16020202,,,,,39.8677357,-111.5343607,,5,seconds,Interpolated from MAP.,NAD83,5750,feet,50,feet,Interpolated from topographic map.,NGVD29,US,49,49,,,,19710101,117,ft,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-395211111041001,(D-11- 8)18abd-S1,Spring,,14060007,,,,,39.8696818,-111.070167,24000,1,seconds,Interpolated from MAP.,NAD83,7920,feet,20,feet,Interpolated from topographic map.,NGVD29,US,49,49,,Flagstaff Limestone (Eocene-Paleocene),,,,,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-395212111102601,(D-11- 7)18aaa-S1,Spring,,16020202,,,,,39.8699593,-111.1746158,24000,1,seconds,Interpolated from MAP.,NAD83,7380,feet,20,feet,Interpolated from topographic map.,NGVD29,US,49,49,,North Horn Formation (Paleocene-Upper Cretaceous),,,,,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-395220111053701,(D-11- 7)12cca-S1,Spring,,14060007,,,,,39.8721817,-111.0943346,24000,1,seconds,Interpolated from MAP.,NAD83,8780,feet,20,feet,Interpolated from topographic map.,NGVD29,US,49,49,,,,,,,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-395253110534501,(D-11- 9) 9dcd-S1,Spring,,14060004,,,,,39.881349,-110.8965499,,5,seconds,Interpolated from MAP.,NAD83,9770,feet,20,feet,Interpolated from topographic map.,NGVD29,US,49,49,,Parachute Creek Member of Green River Formation,Unconfined single aquifer,,,,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-395304111590701,(C-11- 1) 6cab- 1,Well,,16020201,,,,,39.8843966,-111.9860526,24000,5,seconds,Interpolated from MAP.,NAD83,4795,feet,10,feet,Interpolated from topographic map.,NGVD29,US,49,49,,Valley Fill,,19810701,825,ft,825,ft,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-395315111544201,(C-10- 1) 2bcd- 1,Well,,16020201,,,,,39.8874533,-111.9124382,,1,minutes,Interpolated from MAP.,NAD83,4530,feet,1,feet,Interpolated from topographic map.,NGVD29,US,49,49,,,,19640323,60,ft,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-395316111590001,(C-11- 1) 6bdd- 1,Well,,16020201,,,,,39.88773,-111.9841081,24000,1,minutes,Interpolated from MAP.,NAD83,4780.9,feet,10,feet,Interpolated from topographic map.,NGVD29,US,49,49,,Valley Fill,Unconfined multiple aquifer,196404,762,ft,772,ft,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-395326111585001,(C-11- 1) 6abc- 1,Well,,16020201,,,,,39.8905078,-111.9813303,24000,1,minutes,Interpolated from MAP.,NAD83,4770,feet,10,feet,Interpolated from topographic map.,NGVD29,US,49,49,,Valley Fill,Unconfined multiple aquifer,196305,679,ft,682,ft,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-395327111585500,LAZY S,Well,,16020201,,,,,39.8907855,-111.9827192,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,49,49,,,,,,,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-395339111581800,(C-10- 1)32ccc- 1,Well,,16020201,,,,,39.8932857,-111.9732744,24000,1,seconds,Interpolated from MAP.,NAD83,4743,feet,10,feet,Interpolated from topographic map.,NGVD29,US,49,49,,Valley Fill,Unconfined multiple aquifer,19610130,507,ft,515,ft,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-395340111531001,(C-10- 1)36dcb- 1,Well,,16020201,,,,,39.8943981,-111.8868816,,10,seconds,Interpolated from MAP.,NAD83,4840,feet,10,feet,Interpolated from topographic map.,NGVD29,US,49,49,,,,,100,ft,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-395340111590001,(C-10- 1)31cdd- 1,Well,,16020201,,,,,39.8935633,-111.9846638,24000,1,seconds,Interpolated from MAP.,NAD83,4760,feet,10,feet,Interpolated from topographic map.,NGVD29,US,49,49,,Valley Fill,Unconfined multiple aquifer,19630325,603,ft,603,ft,NWIS
